ID_HOTEL;Latitud;Longitud
1036;43,31636061;-1,98565037
1075;43,30601852;-1,95256769
1160;43,32271025;-1,98450897
1161;43,31511891;-1,98732909
1162;43,30374099;-1,97552530
1169;43,31699043;-1,98557305
1180;43,31807384;-1,98369450
1184;43,31789110;-1,98244619
1449;43,32284592;-1,98534695
1464;43,32149225;-1,97525600
1468;43,31838793;-1,98048583
1477;43,31590544;-1,98494297
1529;43,32325180;-1,98188183
1540;43,31826772;-1,98063703
1683;43,31639204;-2,02321086
1694;43,32618984;-1,98425633
1729;43,32406451;-1,97810149
1756;43,31578789;-1,98677943
1771;43,31360576;-1,98035559
1915;43,30434655;-1,97607863
2003;43,32262169;-1,98458583
2006;43,32328946;-1,98661749
2007;43,32326068;-1,98399270
2036;43,31786112;-1,98418007
2103;43,32270598;-1,97394180
2195;43,32139997;-1,97553682
2212;43,32365770;-1,98604869
2235;43,31644718;-1,98185757
2262;43,32362061;-1,98694369
2274;43,32417059;-1,96879376
2381;43,32332590;-1,98300157
2503;43,31657299;-1,98337767
2508;43,32344348;-1,98202412
2535;43,32294769;-1,98353238
2550;43,31275850;-2,00574533
2642;43,31280544;-2,00577742
2645;43,32103848;-1,98391249
2649;43,32069849;-1,98351719
2655;43,31604061;-1,97981155
2688;43,31259553;-1,97794509
2700;43,32261960;-1,98534869
2708;43,32192795;-1,98231043
2744;43,32270327;-1,98189369
2770;43,31783532;-1,97574000
2774;43,31457766;-1,98491113
2800;43,32069103;-1,95214806
2855;43,30240727;-2,01996466
1289;43,32382161;-1,98373990
1416;43,31569632;-1,98554232
1855;43,32407636;-1,98351646
1856;43,32378740;-1,98559109
2075;43,32452100;-1,98398533
2086;43,31720874;-1,98416692
2132;43,32128820;-1,98125490
2272;43,32277912;-1,97624087
2284;43,32402362;-1,98481420
2339;43,32363640;-1,98433206
2346;43,32458971;-1,98360992
2347;43,32421141;-1,98354220
2349;43,32338350;-1,98643726
2350;43,31674472;-1,98563034
2352;43,32341191;-1,98353983
2358;43,32270290;-1,98550247
2362;43,32308279;-1,98523553
2364;43,31625872;-1,98534862
2374;43,32312348;-1,98476896
2376;43,32344319;-1,98325359
2377;43,32334483;-1,98677207
2378;43,30513811;-1,96347413
2382;43,32246087;-1,98530992
2384;43,32546704;-1,97294805
2385;43,31823212;-1,98078149
2386;43,30536838;-1,97532372
2387;43,32370569;-1,98353427
2389;43,31821252;-2,02331442
2390;43,31675181;-1,98281509
2391;43,32276639;-1,98529014
2392;43,32623128;-1,98668225
2393;43,32307562;-1,98495437
2409;43,32402011;-1,98579960
2412;43,31814783;-1,98105422
2413;43,32699149;-1,97034440
2414;43,32380301;-1,98562327
2415;43,32261721;-1,97496760
2421;43,32409976;-1,98622460
2422;43,32415971;-1,98560160
2424;43,31893206;-1,98187356
2463;43,32467344;-1,98489388
2465;43,32268731;-1,97747854
2467;43,32285888;-1,98398547
2489;43,32215580;-1,98252040
2513;43,32406181;-1,98513240
2541;43,32367950;-1,98341073
2551;43,32338851;-1,98544740
2585;43,32146498;-1,97604713
2586;43,32285888;-1,98403912
2640;43,32314339;-1,98527479
2641;43,32399100;-1,98343140
2643;43,30023416;-1,96550501
2646;43,31458581;-2,00269120
2653;43,32439244;-1,97785262
2659;43,32611019;-1,97343234
2660;43,32358173;-1,98377491
2677;43,32363232;-1,98406107
2689;43,32388169;-1,98341165
2723;43,30796480;-1,98415359
2726;43,31410842;-1,98259492
2738;43,32544951;-1,96883922
2746;43,32274474;-1,96628372
2750;43,32489342;-1,98468890
2772;43,32476580;-1,98464230
1807;43,32201852;-1,98010590
2751;43,30759511;-2,04400612
1032;43,31380197;-2,02340873
1103;43,31492541;-2,00444015
1223;43,30788054;-1,97863673
1245;43,31319323;-2,00673986
1254;43,32190990;-2,00936329
1626;43,31820347;-1,98494906
1725;43,30575613;-1,99423333
1764;43,31678541;-1,98581696
1808;43,31164362;-1,99503239
1926;43,30302499;-2,00379910
2031;43,32256340;-1,96337294
2136;43,30847647;-1,98001567
2505;43,30792486;-1,98345626
2687;43,32212390;-1,97669889
2729;43,31667988;-1,97593490
2752;43,29104226;-1,98091806
2773;43,32256010;-1,98648733
2783;43,32141710;-1,98152413
2820;43,31792690;-1,98161143
2827;43,31400779;-1,98472099
2843;43,31708074;-1,98620838
2850;43,31616914;-1,98554433
2854;43,32026996;-1,97689500
2871;43,31540273;-1,98385124
1070;43,31309353;-2,01095399
1102;43,31367855;-2,00438509
1249;43,31589424;-1,98789453
1728;43,31656158;-1,98509317
1760;43,30218862;-1,97213391
2853;43,32127741;-1,96817933
1031;43,31653691;-2,00467993
1034;43,31588822;-2,00346043
1170;43,31800271;-2,01614166
1171;43,32516329;-1,98222114
1253;43,31843950;-1,97686973
1876;43,31231478;-2,02687194
2148;43,28950721;-1,99041764
2196;43,32136443;-1,97651505
2248;43,32245378;-1,97432304
2510;43,30886425;-1,97633719
2784;43,28443085;-2,00704490
2785;43,30627900;-2,00584172
2786;43,31574645;-1,98511706
2787;43,32433715;-1,98545836
2804;43,30801341;-1,98019500
2873;43,32190146;-1,96461502
1033;43,32091195;-1,97706546
1627;43,31711974;-1,98505882
1687;43,32195397;-1,95781414
1985;43,32416681;-1,97807548
2035;43,26670763;-2,02501501
2197;43,32163770;-1,97524654
2249;43,32116190;-1,94714610
2492;43,32137920;-1,97540390
2714;43,32388451;-1,98768946
2821;43,31386730;-2,00221238
2841;43,31028296;-2,00127309
